Xaxis,HL10_AM,HL15_AM,HL16_AM,HL18_AM,HL19_AM,HL20_AM,HL21_AM,HL23_AM,HL24_AM,HL26_AM,HL27_AM,HL28_AM,HL29_AM,HL30_AM,HL31_AM,HL32_AM,HL33_AM,HL34_AM,HL35A_AM,HL35B_AM,HL36_AM,HL37_AM,HL38_AM,HL39_AM,HL40_AM,HL41_AM,HL42_AM,HL43_AM,HL44_AM,HL45_AM,HL46_AM,HL47_AM,HL48_AM,HL49_AM,HL51_AM,HL53_AM,HL54_AM
35,0.843559276,0.857953697,0.913423512,0.959563307,0.927855205,0.902921121,0.880799894,0.831741507,0.898310162,0.911985602,0.835895497,0.942154056,0.876003473,0.876003473,0.91337888,0.756501691,0.800013696,0.86149681,0.902976683,0.910933173,0.890646842,0.89238985,0.857551537,0.90001843,0.868758881,0.85006021,0.938888114,0.281104561,0.830727599,0.904016174,0.860492984,0.873401502,0.796240679,0.829764233,0.911906855,0.873208506,0.829369762
36,0.847934107,0.861784914,0.906068163,0.943119568,0.925256787,0.902337511,0.874964872,0.829265605,0.886390004,0.902732644,0.831571332,0.915313538,0.875365131,0.875365131,0.916884821,0.795470847,0.810807394,0.85497252,0.905916265,0.916831915,0.892877724,0.885131375,0.852244934,0.887308462,0.876194936,0.836353655,0.937073972,0.256179543,0.830257839,0.891983254,0.857293183,0.864903803,0.800700342,0.8347933,0.91056669,0.846736443,0.844729652
37,0.832878747,0.833465273,0.901042847,0.934283115,0.915148208,0.889206291,0.854649529,0.81162572,0.877983606,0.878446012,0.806196325,0.899620124,0.856751098,0.856751098,0.905873612,0.788318475,0.813177898,0.840715522,0.891241188,0.904348335,0.876862159,0.877233491,0.834015767,0.879528461,0.853999806,0.817588308,0.914155673,0.262229807,0.807087422,0.880028343,0.835865256,0.860090778,0.789075445,0.812769272,0.894048088,0.834846953,0.815162438
38,0.809748852,0.797587752,0.876911257,0.881699928,0.887502342,0.853867183,0.817280244,0.782730398,0.840093003,0.832511908,0.791020645,0.865644849,0.833285671,0.833285671,0.877106322,0.800789015,0.830213925,0.821909531,0.863455007,0.869683811,0.837185551,0.837382923,0.791393693,0.839226476,0.816658055,0.784520212,0.870315704,0.277820871,0.808523167,0.835784123,0.825106195,0.828484184,0.784965307,0.781656889,0.842842849,0.803553679,0.811139938
39,0.808412098,0.83150112,0.889052621,0.906999477,0.902905504,0.868902814,0.841367274,0.812852651,0.87285323,0.863367823,0.815595491,0.892500623,0.866137269,0.866137269,0.910766838,0.820821806,0.86789968,0.8576566,0.900978909,0.892032096,0.86488044,0.865777415,0.823686452,0.87034648,0.845659476,0.812706602,0.893668753,0.312286689,0.836463964,0.867579374,0.859165818,0.852797929,0.805218258,0.820204236,0.873302811,0.865779167,0.879343359
40,0.828179854,0.849663928,0.886243986,0.905237994,0.911947022,0.879261887,0.843726427,0.829801928,0.877959832,0.876614498,0.824852162,0.900764329,0.863578797,0.863578797,0.903406683,0.805912491,0.869632782,0.863501156,0.910956363,0.900005857,0.869872823,0.870371686,0.8326509,0.878732031,0.849801382,0.824541934,0.900157798,0.338039094,0.825752112,0.874990249,0.860931078,0.860352148,0.807995029,0.825964611,0.880112792,0.867223407,0.847613362
41,0.865136376,0.881732636,0.922038338,0.952178626,0.950678928,0.918210161,0.885407268,0.861665393,0.911899237,0.928666366,0.854523931,0.9346023,0.892350117,0.892350117,0.943603109,0.828998873,0.892257932,0.905232214,0.955301236,0.937339458,0.911780312,0.913484423,0.856410508,0.914485809,0.891260819,0.876168776,0.942484193,0.353500879,0.869320701,0.920495618,0.891236841,0.904102865,0.83686309,0.877013084,0.925708741,0.913456065,0.879673975
42,0.830974885,0.847184466,0.891382654,0.907415652,0.907898702,0.892085944,0.858761408,0.822315446,0.86049088,0.906497421,0.82104317,0.89786059,0.841395159,0.841395159,0.900034247,0.798503945,0.866530055,0.871332628,0.914369702,0.89221617,0.866249779,0.878482706,0.82165007,0.878745195,0.867507428,0.828892378,0.892718744,0.348355569,0.838806148,0.875217776,0.859595322,0.863667079,0.813995184,0.847045357,0.890652194,0.855605774,0.84738836
43,0.837361599,0.853681852,0.897050304,0.912477498,0.903443108,0.898659233,0.860706415,0.840322675,0.866757641,0.915375174,0.827576002,0.908382195,0.833367378,0.833367378,0.897683409,0.807623732,0.883239479,0.890580156,0.914084306,0.900097894,0.879304147,0.885901034,0.824559967,0.884056922,0.874935409,0.84064507,0.908262396,0.380365084,0.847989626,0.885501989,0.857323249,0.8699017,0.821037438,0.857649322,0.898383918,0.872316475,0.861209964
44,0.853618688,0.857094847,0.907491373,0.918187801,0.910130573,0.893168694,0.863524087,0.842137357,0.876504878,0.929372261,0.842329678,0.910533301,0.841492187,0.841492187,0.905484708,0.80551286,0.892226325,0.90108409,0.917634636,0.905753993,0.879714949,0.896143417,0.836936583,0.89294271,0.894175494,0.853312713,0.918352888,0.382717965,0.861275233,0.899498141,0.869817504,0.880668851,0.826325601,0.869223065,0.911591522,0.87811892,0.862233957
45,0.85673778,0.851777446,0.911194237,0.931931244,0.90697826,0.89627872,0.872443018,0.838478606,0.887203066,0.931381839,0.846988157,0.906007333,0.859427025,0.859427025,0.926706099,0.809539912,0.90840897,0.904256184,0.939912669,0.913769589,0.875983499,0.905320119,0.837498908,0.898853404,0.904203268,0.851671704,0.912443509,0.39569759,0.870544723,0.911602569,0.870904148,0.884908138,0.820649078,0.877256853,0.922670629,0.876079994,0.872184594
46,0.852849041,0.847154593,0.910425955,0.920278353,0.902033934,0.899964676,0.874188348,0.843724286,0.880384754,0.924195692,0.845327546,0.903251069,0.854626698,0.854626698,0.943922358,0.82218465,0.93177161,0.890028235,0.944975599,0.914196307,0.876622524,0.905095142,0.838432477,0.894733031,0.90615715,0.844818427,0.916592419,0.380339228,0.884736769,0.900538264,0.883948168,0.882039448,0.834895402,0.875847231,0.926466754,0.869015963,0.892590977
47,0.84905482,0.844839432,0.935980755,0.928301814,0.89576189,0.909241,0.869625346,0.854568297,0.876609483,0.942682531,0.850364183,0.915450842,0.856199571,0.856199571,0.934681534,0.821846501,0.938862052,0.906365105,0.948565884,0.926596216,0.870660193,0.897511042,0.848046602,0.891599968,0.914376373,0.858820127,0.930155544,0.407539559,0.895104571,0.912064124,0.87932671,0.88602374,0.838442419,0.874358118,0.920238925,0.87468248,0.88903685
48,0.860221442,0.865728155,0.941497267,0.948191092,0.917445242,0.924829525,0.883795057,0.854818091,0.916568402,0.96359231,0.868866565,0.939860559,0.889541416,0.889541416,0.938361611,0.819592171,0.921957721,0.919198727,0.941059962,0.938644712,0.883092653,0.927279078,0.875425839,0.912096519,0.931420359,0.878039998,0.957791685,0.437351329,0.905029079,0.928010505,0.908730517,0.901635791,0.863271541,0.907012607,0.93630272,0.910359446,0.88138216
49,0.839765055,0.843121733,0.914972669,0.920907454,0.897358411,0.902744502,0.857149196,0.829140708,0.878910782,0.930561473,0.843414829,0.912369116,0.872862833,0.872862833,0.914980932,0.807644226,0.915610036,0.887390632,0.921630184,0.90584603,0.855757216,0.890003907,0.856148454,0.875928071,0.899326637,0.85789337,0.916978864,0.408754783,0.893225531,0.900005201,0.884270295,0.868939095,0.838668962,0.887304388,0.909165883,0.876079994,0.85797727
50,0.839711045,0.847475728,0.925275196,0.936896305,0.893342674,0.90965567,0.859981659,0.838140649,0.882105974,0.933703028,0.849673632,0.92430445,0.85317128,0.85317128,0.920855125,0.818065376,0.931244831,0.885211996,0.935580353,0.916078884,0.86979865,0.894207429,0.865407713,0.89399584,0.904679628,0.869882178,0.916200608,0.395904437,0.897380592,0.915971085,0.890098657,0.87590045,0.847678904,0.88729379,0.914520481,0.884609503,0.875100448
51,0.851012692,0.857587752,0.929179576,0.945035907,0.91048083,0.928031699,0.865225044,0.854090749,0.891729588,0.94071747,0.862328253,0.947147877,0.865744051,0.865744051,0.928221083,0.832636541,0.946094725,0.900061583,0.948668626,0.930294435,0.88689257,0.900074598,0.870419506,0.895608446,0.907901111,0.882449471,0.929323615,0.450796359,0.909263535,0.920541124,0.896940647,0.884417273,0.856688846,0.893435716,0.913465329,0.88577339,0.887673057
52,0.826492033,0.841262136,0.90508577,0.91124833,0.892283757,0.906883524,0.841071455,0.839374927,0.874369996,0.919464282,0.847454004,0.932140986,0.849606782,0.849606782,0.897706627,0.811476586,0.937576712,0.882121237,0.92967265,0.901854966,0.869753005,0.876540798,0.851911906,0.86814807,0.879868557,0.866730025,0.918154299,0.469179853,0.897301196,0.907104038,0.880731187,0.873299504,0.840837303,0.870357122,0.886892453,0.871866212,0.866449317
53,0.839859573,0.863816281,0.918448827,0.910977333,0.906220727,0.918164086,0.845523525,0.84690549,0.86934898,0.925493014,0.870192861,0.942586311,0.868700848,0.868700848,0.901566645,0.819745876,0.953780428,0.894705042,0.925363167,0.908715915,0.876257367,0.878476786,0.861667977,0.862191301,0.891204302,0.87597398,0.922491063,0.494492709,0.905419443,0.911940609,0.89735297,0.886603853,0.858805406,0.879260001,0.881325612,0.893321666,0.886387326
54,0.810086416,0.848349515,0.88150835,0.860542769,0.876098626,0.884030593,0.807754885,0.814285294,0.839232393,0.883978709,0.842696876,0.890369858,0.857159636,0.857159636,0.863163821,0.791115893,0.914877814,0.848140316,0.874488427,0.856664742,0.842035295,0.847062863,0.83809399,0.824206203,0.856107092,0.832682046,0.881082474,0.462224635,0.872337751,0.860044985,0.883711941,0.849693369,0.834688277,0.861486039,0.849222279,0.854412152,0.860851797
