Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Batch,_gbc_pvals,GBC_KSstats,_hist_pvals,NumGenes
RNA_B04_13,20189795.0,99.32,13602497.0,67.83440478422268,65.12,1403679.0,0.44,1.26,0.28,0.05,batch_04,0.5241976481720823,0.11,0.24790565248651147,16087.0
RNA_B04_14,22062586.0,99.28,13786364.0,62.94069828877048,62.66,1434914.0,0.58,1.336,0.32,0.047,batch_04,0.7168183469811907,0.07,0.3275410933858943,15368.0
RNA_B04_15,20837014.0,99.58,14004777.0,67.49453232420173,60.58,1163090.0,0.54,1.01,0.2,0.03,batch_04,0.5241976481720823,0.11,0.3290726260529325,15355.0
RNA_B04_16,19074154.0,99.12,13553727.0,71.6889394764613,69.01,1409395.0,0.96,1.589,0.46,0.051,batch_04,0.5749037124841687,0.1,0.454923208476112,14345.0
RNA_B04_17,21364454.0,99.68,11718421.0,55.026167900443276,69.51,989337.0,0.32,0.842,0.11,0.03,batch_04,0.4730961202940454,0.12,0.3405894343878505,15258.0
RNA_B04_18,10395887.0,99.62,2827408.0,27.301115661500106,60.22,344890.0,0.0,1.219,0.0,0.041,batch_04,0.5241976481720823,0.11,0.3897757484629928,13139.0
RNA_B04_19,20170696.0,99.7,8236685.0,40.957780575467865,68.43,820592.0,0.0,0.891,0.0,0.031,batch_04,0.6719249106542564,0.08,0.4317544361085595,14525.0
RNA_B04_20,18674465.0,99.86,8545198.0,45.82288193674612,67.7,641937.0,0.0,0.604,0.0,0.019,batch_04,0.5241976481720823,0.11,0.18194453289545742,16783.0
RNA_B04_21,20171534.0,99.64,13810259.0,68.71146021921813,70.18,1524722.0,0.98,0.902,0.45,0.032,batch_04,0.5241976481720823,0.11,0.34778923014706387,15198.0
RNA_B04_22,19763226.0,98.87,9473720.0,48.48396998111995,65.43,954745.0,0.3,1.637,0.12,0.065,batch_04,0.6719249106542564,0.08,0.27337842880059215,12149.0
RNA_B04_23,21148924.0,99.62,15888194.0,75.41187172389424,70.66,1211816.0,0.57,0.672,0.37,0.026,batch_04,0.3256229145575784,0.15,0.41211386348509815,14679.0
RNA_B04_24,17228299.0,99.79,12150055.0,70.67223415382448,56.02,863741.0,0.59,0.703,0.36,0.02,batch_04,0.5749037124841687,0.1,0.03955599091948085,19384.0
RNA_B05_01,19441188.0,99.55,13556343.0,70.04521688876,66.71,1979329.0,1.04,1.247,0.64,0.057,batch_05,0.6719249106542564,0.08,0.4199608804762661,13378.0
RNA_B05_02,19659897.0,99.74,10506639.0,53.581295321260875,64.32,1392582.0,0.27,1.464,0.25,0.053,batch_05,0.6719249106542564,0.08,0.26416160774259756,15932.0
RNA_B05_03,20021178.0,99.84,5279859.0,26.413632167397942,59.07,520259.0,0.0,1.013,0.0,0.031,batch_05,0.4730961202940454,0.12,0.4838321080647822,14122.0
RNA_B05_04,18553718.0,99.58,13032905.0,70.54043869319678,64.17,2051229.0,1.18,1.315,0.65,0.058,batch_05,0.6243985690243574,0.09,0.42229255399800103,14599.0
RNA_B05_05,17551051.0,99.91,1265644.0,7.217710812276288,51.84,198924.0,0.0,0.692,0.0,0.026,batch_05,0.03129993609776144,0.26,0.18582041150013273,11257.0
RNA_B05_06,19507742.0,99.68,7499002.0,38.56456499525485,60.29,1188286.0,0.26,1.485,0.23,0.052,batch_05,0.7585346160952503,0.06,0.3068713737196338,15546.0
RNA_B05_07,18913928.0,99.82,9817711.0,52.00091036903481,61.7,1582429.0,0.7,1.142,0.44,0.042,batch_05,0.6243985690243574,0.09,0.23972924492854858,16167.0
RNA_B05_08,18230670.0,99.61,12484887.0,68.75100420292779,59.98,2086728.0,1.0,1.642,0.67,0.062,batch_05,0.6719249106542564,0.08,0.16297513585779766,17011.0
RNA_B05_09,21108863.0,99.35,13127200.0,62.594963323431884,57.7,2413919.0,0.84,2.477,0.46,0.078,batch_05,0.5241976481720823,0.11,0.1543005301902418,17121.0
RNA_B05_10,17755383.0,99.63,1044627.0,5.905287843994289,46.86,224496.0,0.0,2.088,0.0,0.058,batch_05,0.041473073143000166,0.25,0.2442808143535008,11873.0
