0,1,2,3,4,5,6,7,8,Sample
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,RNA_B05_14
0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,RNA_B05_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_18
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_21
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,RNA_B05_22
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B05_23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B05_24
0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,RNA_B06_01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_05
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_06
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_07
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_09
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_11
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,RNA_B06_12
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,RNA_B06_13
0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B06_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_15
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_16
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_17
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_19
0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B06_20
0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B06_21
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_22
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B06_23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B06_24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_01
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_02
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_03
0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,RNA_B07_04
0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_05
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_06
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,RNA_B07_07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_08
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_10
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_11
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_12
0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_15
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_19
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B07_20
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_21
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_22
0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B07_23
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B07_24
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_01
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B08_02
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B08_03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_05
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B08_06
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,RNA_B08_07
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,RNA_B08_08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_11
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B08_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_13
